line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
DELTA,19.71705228,45.42857143,28.888135,98.57142857,98.57142857,1.801428571,3.904761905,30.90101123,30.90101123,23.5,34.03333333,1.619047619,15.42857143,15.71428571,15.28571429,19,1,2.470396825,0.861349206,2.506375,0.709083333,1.799087302,2.247486772,A,A,A,A,A,34.03333333,A,45.42857143,DELTA,A,
RER,36.5891137,61.78571429,33.4913619,87.14285714,87.14285714,3.1575,3.428571429,57.17819179,57.17819179,21.65079365,51.49206349,2.071428571,4.825,14.95238095,19.71428571,23.42857143,1,2.015509259,0.826111111,2.210972222,0.761296296,1.936574074,2.054351852,B,B,B,B,B,51.49206349,B,61.78571429,RER,B,
1,31.9921811,69.61111111,33.95566667,83.33333333,83.33333333,2.333333333,3.666666667,57.43363293,57.43363293,25.5,58.83333333,3,5.083333333,15.33333333,NA,NA,1,2.13,1.103055556,2.61,1.192222222,1.870555556,2.203518519,A,A,B,A,B,58.83333333,B,69.61111111,1,B,
2,27.80952381,39,22.95265,86.66666667,86.66666667,3.125,3,36.84198727,36.84198727,17.88888889,28.16666667,2,10.66666667,13.16666667,16,21,1,2,0.8,2.155,0.985,1.9075,2.020833333,B,B,A,A,A,28.16666667,A,39,2,A,
3,35.07337526,37.61111111,21.15533333,100,100,1.583333333,4,36.99575102,36.99575102,18.72222222,29.77777778,1.166666667,6,15,12,16,1,2.569166667,0.711666667,3.40875,0.729583333,1.8225,2.431527778,A,B,A,B,A,29.77777778,A,37.61111111,3,B,
4,29.93146284,32.83333333,24.6165,100,100,2.166666667,4,23.85708941,23.85708941,17.55555556,23,1,5,13.66666667,15,18,1,2.610277778,0.954166667,2.520833333,0.629166667,1.674166667,2.214351852,A,A,A,A,A,23,A,32.83333333,4,B,
5,,,8.387,90,90,2.33,3,18.75,18.75,19.5,24,2,5,13.5,16,18,1,1.996666667,0.83,2.485,0.89,1.663333333,2.048333333,B,NA,NA,NA,NA,24,A,,5,B,
6,26.19191097,34.66666667,18.87866667,100,100,2.166666667,4,21.28397677,21.28397677,23.33333333,30,1,16.16666667,15.66666667,15,17,1,2.005833333,0.703333333,2.533055556,0.717777778,1.63,2.056296296,A,A,A,A,A,30,A,34.66666667,6,A,
7,20.54136693,43,15.2415,80,80,1.75,2.666666667,29.75690467,29.75690467,21,29.66666667,1.666666667,17.33333333,15,21,23,1,2.0125,0.58,2.04,0.501666667,1.41625,1.822916667,B,A,A,B,A,29.66666667,A,43,7,A,
8,57.6624464,66.66666667,24.60266667,95.83333333,95.83333333,1.86,3.333333333,72.14828381,72.14828381,14.83333333,51.5,1.5,5.5,15.33333333,16,20,NA,2.290833333,0.898055556,2.373333333,0.645555556,1.732222222,2.13212963,A,A,A,A,A,51.5,B,66.66666667,8,NA,
