Line_name,planting_generation,GerminateNABozemanNA2016,Unknown,dpo_boze_2016,plants_harvestedNA_Boze_2016,Avg_brnch_numb_boz_2016,avg_height_boze_2016,avg_length_boze_2016,pctg_Lodging_boze_2016,Mat_time_boze_2016,bif_boze_2016,avg_tend_length_boze_2016,Avg_Main_stem_diam_boze_2016,avg_comp_mn_stm_dia_boze_2016,avg_branch_diam_boze_2016,avg_comp_brnch_diam_boze_2016,avg_root_diam_boze_2016,Yield_boze_2016,white_flow_2016_boze,afila_2016_boze_
Delta,,24.42857143,97.71428571,1,5,1.233333333,39.16666667,40.77777778,3.952050606,1.285714286,1.071428571,15.94047619,2.145083333,0.870083333,2.48375,0.68625,1.385166667,,A,A
RER,,20.85714286,83.42857143,1,4.714285714,1.65,36.95238095,64.19047619,41.90835036,1.714285714,2.678571429,14.75,1.73802381,0.898547619,2.014166667,0.882583333,1.553571429,,B,B
1,F8,25,100,1,5,2,38.66666667,64,39.58333333,1,1,14.5,1.78,0.844,1.95,0.703333333,1.46,,A,B
2,f7,9,36,1,,,29,37,21.62162162,2,1.5,12,,,,,,*,B,A
3,F8,25,100,1,5,1.6,31,35,11.42857143,1,2,16.5,2.63,0.732,2.966666667,0.736666667,1.626,,A,B
4,F7,21,84,1,5,1.4,30,30.66666667,2.173913043,1,2,13,2.424,1.146,2.265,0.68,1.562,,A,B
5,f6,25,100,1,5,1.6,24.75,29,14.65517241,1,1.5,12,2.398,1.056,1.97,0.685,1.5275,,B,B
6,F8,25,100,1,5,1.4,32,32.66666667,2.040816327,2,1,15,1.97,0.784,2.37,0.69,1.384,,A,A
7,F6,19,76,1,3,1.333333333,34.33333333,38.66666667,11.20689655,2,2,11.5,2.1575,1.025,2.45,0.84,1.5775,,B,A
8,F7,23,92,1,5,1,29,56.33333333,48.52071006,3,1,17.5,1.9375,0.7375,,,1.4025,,A,NA
9,F8,13,52,1,3,2,29.66666667,35,15.23809524,1,1,15.5,2.043333333,0.876666667,2.38,0.796666667,1.486666667,,A,A
10,F8,24,96,1,5,1.2,43.66666667,59.33333333,26.40449438,2,1,14.5,1.6975,0.7525,1.505,0.585,1.076,*,A,A
11,F8,23,92,1,4,2,34.33333333,38.33333333,10.43478261,2,2,14,2.2625,1.195,2.28,0.87,1.665,,A,B
12,F8,24,96,1,5,1.2,53.33333333,61.5,13.27913279,1,1,19.5,1.86,0.8125,2.14,0.74,1.312,,A,A
13,F8,24,96,1,5,2.1,25.33333333,27.5,7.878787879,2,1,11.5,1.936,0.976,2.2,0.713333333,1.445,,A,B
14,F8,23,92,1,5,1.6,16.66666667,66.66666667,75,1,1.5,14,1.986,0.916,2.093333333,0.706666667,1.546,,A,B
15,F8,21,84,2,5,2.2,32.5,33,1.515151515,2,1,14,2.1775,1.03,2.6075,0.9675,1.5,,A,B
16,F7,24,96,1,5,1.2,31,52,40.38461538,1,1,15,1.432,0.568,1.53,0.6,1.14,,A,A
17,F8,25,100,1,5,1.2,21.75,29.5,26.27118644,1,1,12.5,1.89,0.595,2.25,0.47,1.2175,,A,B
18,F8,20,80,1,5,1.8,37,38.5,3.896103896,2,1.5,14,1.9425,1.0675,2.186666667,0.893333333,1.68,,B,A
19,F8,25,100,1,5,1.2,50.33333333,61.33333333,17.93478261,1,1.25,14,1.4,0.746,1.27,0.58,1.07,,A,A
20,,,,,,,,,,,,,,,,,,,,
21,F6,15,60,1,3,1,23,33.33333333,31,2,1.5,13,2.216666667,0.843333333,,,1.526666667,,B,B
22,F7,14,56,1,,,14,26,46.15384615,2,1,11.5,,,,,,NA,B,B
23,F8,25,100,1,5,1,40.5,53,23.58490566,1,1,15.75,1.746666667,0.733333333,,,0.99,,A,NA
24,F8,24,96,1,6,1.5,45,64.66666667,30.41237113,1.75,1,14,1.84,0.981666667,2.035,0.82,1.45,*,A,B
25,F7,24,96,1,5,1.2,36.66666667,72.33333333,49.30875576,2,3,17.5,1.973333333,0.71,1.87,0.7,1.394,,A,A
26,F8,22,88,1,5,1,41.33333333,60.33333333,31.49171271,1,1.5,15,1.906,1.136,,,1.394,,A,A
27,F8,23,92,1,5,1.2,29.5,38,22.36842105,2,1,12.5,2.164,0.98,2.685,1.05,1.8,,A,B
28,F8,23,92,1,5,1.6,40.66666667,46.66666667,12.85714286,2,2,16.25,2.205,1.05,2.26,0.853333333,1.434,,A,B
29,F8,24,96,1,5,1,17,24.66666667,31.08108108,1,1,10,2.128,0.912,,,1.396666667,,A,B
30,F8,14,56,1,5,1,22.66666667,35,35.23809524,2,1.25,15.5,2.2575,1.275,,,1.6825,,B,A
31,F8,21,84,1,5,1,27,61,55.73770492,1,2,18.75,1.614,0.744,,,1.15,,B,B
32,F8,25,100,1,5,1,38.33333333,67.33333333,43.06930693,2,1,18.25,1.838,0.842,,,1.242,,A,A
33,F8,12,48,1,3,1.666666667,27.5,30.375,9.465020576,1,1,13.5,2,0.935,2.26,0.86,1.485,,A,A
34,F8,25,100,1,5,1.4,30.66666667,61,49.72677596,1,3,17.5,1.86,0.984,1.74,0.695,1.268,,A,B
35,F7,24,96,1,5,1.8,31,31,0,2,1,13.5,1.9475,0.9425,2.153333333,0.736666667,1.312,,A,A
36,F8,25,100,1,5,1,27,37.625,28.23920266,2,2,13,2.71,1.112,,,1.816,,A,B
