Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
Delta,98.31932773,14.35714286,1.057142857,35.26190476,19.19912359,1.928571429,A,A,2.21,2.49,1.44
RER,99.15966387,14.78571429,1.635714286,54,35.53405709,3,B,B,1.79,1.84,1.43
1,100,14.5,2,73.33333333,35.45454545,4,A,B,2.46,2.2275,1.41
2,70.58823529,12.5,1.5,38.66666667,32.75862069,4,B,A,1.906666667,1.755,1.2575
3,100,14,1.2,34,18.62745098,1,A,B,2.46,,1.5375
4,94.11764706,15,1.2,31.66666667,8.421052632,1,A,B,2.73,2.44,1.618
5,94.11764706,11.5,1.2,32.33333333,36.08247423,2,B,B,2.22,1.58,1.275
6,100,14.5,1,35,3.80952381,2,A,A,2.033333333,2.135,1.25
7,94.11764706,16,1.2,38.33333333,70.43478261,3,B,A,2.234,1.97,1.252
8,94.11764706,19,1,58.33333333,70.28571429,1,A,NA,2.01,2.17,1.2475
9,35.29411765,16,,,,2,A,A,,,
10,100,17.5,1.6,64.5,55.03875969,1,A,A,1.75,1.315,1.086
11,94.11764706,16.5,2.5,36,23.14814815,2.5,A,B,2.326,2.233333333,1.806
12,100,20,1,58.66666667,60.22727273,1,A,A,2.05,2.155,1.22
13,100,14,1,24.75,29.29292929,1,A,B,2.29,,1.332
14,100,18,1,68.5,67.15328467,3,A,B,1.6675,1.57,1.236
15,100,13,1,33.33333333,9,1,A,B,2.455,1.88,1.356
16,100,16.25,1.6,52.33333333,50.31847134,1,A,A,1.38,1.622,1.138
17,100,12.5,1.4,30.33333333,25.27472527,3,A,B,2.3175,2.545,1.468
18,94.11764706,13,1.2,41.66666667,21.6,3,B,A,2.156666667,2.055,1.578
19,100,19.5,1,56.66666667,52.35294118,1,A,A,1.553333333,1.745,1.134
21,88.23529412,11.5,1.75,35.5,29.57746479,3,B,B,2.386666667,,1.453333333
22,94.11764706,11.5,2,31,16.12903226,4,B,B,2.214,1.67,1.588
23,100,18,1,53.33333333,55,1,A,NA,1.854,,1.19
24,100,16,1,60,33.33333333,3,A,B,2.06,,1.594
25,94.11764706,14.5,1.2,61.5,48.7804878,1,A,A,1.805,2.046666667,1.59
26,94.11764706,15.5,1,59.33333333,32.02247191,1,A,A,1.842,,1.356
27,100,13,1.375,31.66666667,35.78947368,3,A,B,2.38,,1.68
28,100,12.5,1.4,36,14.81481481,3,A,B,2.48,,1.712
29,100,11.5,1.3,25.33333333,27.63157895,1,A,B,2.198,,1.31
30,70.58823529,15,1.333333333,32.66666667,18.36734694,3,B,A,2.1475,2.15,1.615
31,76.47058824,12,1,49.66666667,73.15436242,1,B,B,1.7325,,1.265
32,94.11764706,18.5,1,59.66666667,30.16759777,1,A,A,1.933333333,1.49,1.2275
