,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2594,A,B,-,A,B,A,-,A,-,-,B,-,B,-,B,-,B,-,B,B,-,-,-,-,-,-,-,-,B,B,B,B,-,-,B,-,-,B,B,-,-,B,B,A,-,B,A,-,A,-,A,B,-,B,B,-,-,-,B,-,B,A,B,-,A,B,-,A,-,-,A,B,-,-,B,B,-,B,A,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,-,B,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,A,-,-,A,B,-,B,B,-,-,-,-,B,B,B,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,B,-,B,-,B,-,-,-,B,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,-,-,A,-,-,-
A1617,A,B,-,A,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,B,-,-,B,-,-,-,B,-,-,B,-,A,-,-,-,B,-,-,-,B,-,-,-,-,-,B,-,-,B,-,-,A,B,-,-,B,-,-,A,A,-,B,-,B,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,-,-,B,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1621,A,B,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,A,-,-,-,B,-,-,-,-,-,B,-,B,-,-,-,-,-,A,A,-,A,-,-,-,-,-,-,-,B,-,-,A,-,-,-,A,-,B,-,-,-,-,-,B,B,-,-,-,B,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1619,A,B,-,A,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,A,-,A,-,-,B,-,B,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,B,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,-,B,-,B,B,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1618,A,B,-,-,-,-,-,-,-,-,B,-,A,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,A,B,-,B,A,-,-,-,A,-,-,B,B,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,-,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,-,B,-,B,B,-,-,-,-,A,A,A,-,-,-,B,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1624,A,B,-,-,-,-,-,-,-,-,B,-,A,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,B,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,A,A,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,-,-,-,-,B,-,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,-,-,B,-,B,B,-,-,-,-,-,-,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1615,A,B,-,A,A,-,-,-,-,-,B,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,A,B,-,B,A,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,A,B,-,-,B,-,-,A,A,-,B,-,B,-,-,-,-,-,-,A,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1622,A,B,-,A,A,A,-,A,-,-,B,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,A,-,-,-,A,-,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A7578,A,B,-,A,A,A,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,B,A,A,-,-,A,-,-,A,B,-,-,B,-,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,A,-,-,-,A,A,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,-,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
C20B,A,B,-,-,-,-,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,B,-,-,-,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,A,-,-,-,A,A,-,A,-,-,-,B,-,-,-,B,-,-,A,-,-,-,-,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,-,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
